Source,X,Y,Country,Realm,Family,Genus,Taxon,Taxon_ITIS,Occurrence,Sample_yea,BIOME,TaxonNameIUCN,redlistCategory,species_number,Source_grp,Dataset,row_id,nearpatch_ID,metric,treecover,near_p_dist,patch_area,dataset_row_id,row_id_2
Henschel 2008,12.5474,0.17799,Gabon,Africa,Cercopithecidae,Cercopithecus,Cercopithecus solatus,Allochrocebus_solatus,0,2004,Tropical_and_suptropical_moist_broadleaf_forest,Allochrocebus solatus,Near Threatened,1,a,Allochrocebus_solatus_a,1747,1467,area,1,0,9547.137718,16,1
Henschel 2008,12.56184,0.08613,Gabon,Africa,Cercopithecidae,Cercopithecus,Cercopithecus solatus,Allochrocebus_solatus,0,2004,Tropical_and_suptropical_moist_broadleaf_forest,Allochrocebus solatus,Near Threatened,1,a,Allochrocebus_solatus_a,1768,1123,area,1,0,9738.32711,37,2
Henschel 2008,12.46208,-0.18523,Gabon,Africa,Cercopithecidae,Cercopithecus,Cercopithecus solatus,Allochrocebus_solatus,0,2003,Tropical_and_suptropical_moist_broadleaf_forest,Allochrocebus solatus,Near Threatened,1,a,Allochrocebus_solatus_a,1494,862,area,1,0,9831.940761,5,3
Henschel 2008,12.1731,-1.13919,Gabon,Africa,Cercopithecidae,Cercopithecus,Cercopithecus solatus,Allochrocebus_solatus,1,2005,Tropical_and_suptropical_moist_broadleaf_forest,Allochrocebus solatus,Near Threatened,1,a,Allochrocebus_solatus_a,2178,235,area,1,0,9943.61496,9,4
Henschel 2008,12.21355,-1.26215,Gabon,Africa,Cercopithecidae,Cercopithecus,Cercopithecus solatus,Allochrocebus_solatus,0,2004,Tropical_and_suptropical_moist_broadleaf_forest,Allochrocebus solatus,Near Threatened,1,a,Allochrocebus_solatus_a,1738,81,area,1,0,9975.603587,7,5
Fialho et al. 2014,-35.50072222,-9.227416667,Brazil,Neotropics,Atelidae,Alouatta,Alouatta belzebul,Alouatta_belzebul,0,2007,Tropical_and_suptropical_moist_broadleaf_forest,Alouatta belzebul,Vulnerable,2,a,Alouatta_belzebul_a,3244,1,area,0,193.8076942,0.274839676,33,6
Fialho et al. 2014,-35.05261111,-8.525777778,Brazil,Neotropics,Atelidae,Alouatta,Alouatta belzebul,Alouatta_belzebul,0,2007,Mangroves,Alouatta belzebul,Vulnerable,2,a,Alouatta_belzebul_a,3241,567,area,1,0,61.65570054,30,7
Fialho et al. 2014,-35.13305556,-6.610527778,Brazil,Neotropics,Atelidae,Alouatta,Alouatta belzebul,Alouatta_belzebul,0,2007,Tropical and Subtropical Dry Broadleaf Forest,Alouatta belzebul,Vulnerable,2,a,Alouatta_belzebul_a,3215,351,area,1,0,96.46872611,4,8
Fialho et al. 2014,-36.30797222,-10.113,Brazil,Neotropics,Atelidae,Alouatta,Alouatta belzebul,Alouatta_belzebul,0,2007,Tropical and Subtropical Dry Broadleaf Forest,Alouatta belzebul,Vulnerable,2,a,Alouatta_belzebul_a,3246,282,area,1,0,115.6158902,35,9
Fialho et al. 2014,-35.08458333,-6.646611111,Brazil,Neotropics,Atelidae,Alouatta,Alouatta belzebul,Alouatta_belzebul,1,2007,Tropical_and_suptropical_moist_broadleaf_forest,Alouatta belzebul,Vulnerable,2,a,Alouatta_belzebul_a,3217,483,area,1,0,126.6094772,6,10
Fialho et al. 2014,-35.98216667,-9.516777778,Brazil,Neotropics,Atelidae,Alouatta,Alouatta belzebul,Alouatta_belzebul,1,2007,Tropical_and_suptropical_moist_broadleaf_forest,Alouatta belzebul,Vulnerable,2,a,Alouatta_belzebul_a,3248,1,area,0,85.60991773,138.6108097,37,11
Fialho et al. 2014,-35.13152778,-6.570138889,Brazil,Neotropics,Atelidae,Alouatta,Alouatta belzebul,Alouatta_belzebul,0,2007,Tropical and Subtropical Dry Broadleaf Forest,Alouatta belzebul,Vulnerable,2,a,Alouatta_belzebul_a,3214,245,area,1,0,146.3063206,3,12
Fialho et al. 2014,-35.06152778,-6.637666667,Brazil,Neotropics,Atelidae,Alouatta,Alouatta belzebul,Alouatta_belzebul,0,2007,Tropical_and_suptropical_moist_broadleaf_forest,Alouatta belzebul,Vulnerable,2,a,Alouatta_belzebul_a,3216,745,area,1,0,266.9609381,5,13
Fialho et al. 2014,-34.97588889,-7.51325,Brazil,Neotropics,Atelidae,Alouatta,Alouatta belzebul,Alouatta_belzebul,0,2007,Tropical_and_suptropical_moist_broadleaf_forest,Alouatta belzebul,Vulnerable,2,a,Alouatta_belzebul_a,3236,313,area,1,0,277.2216194,25,14
Fialho et al. 2014,-35.15441667,-7.042833333,Brazil,Neotropics,Atelidae,Alouatta,Alouatta belzebul,Alouatta_belzebul,1,2007,Tropical_and_suptropical_moist_broadleaf_forest,Alouatta belzebul,Vulnerable,2,a,Alouatta_belzebul_a,3226,312,area,1,0,307.0875308,15,15
Fialho et al. 2014,-34.97116667,-6.557944444,Brazil,Neotropics,Atelidae,Alouatta,Alouatta belzebul,Alouatta_belzebul,0,2007,Tropical_and_suptropical_moist_broadleaf_forest,Alouatta belzebul,Vulnerable,2,a,Alouatta_belzebul_a,3213,294,area,1,0,309.0114085,2,16
Fialho et al. 2014,-35.10597222,-6.731888889,Brazil,Neotropics,Atelidae,Alouatta,Alouatta belzebul,Alouatta_belzebul,0,2007,Tropical_and_suptropical_moist_broadleaf_forest,Alouatta belzebul,Vulnerable,2,a,Alouatta_belzebul_a,3218,617,area,1,0,340.8928109,7,17
Fialho et al. 2014,-35.013,-7.777611111,Brazil,Neotropics,Atelidae,Alouatta,Alouatta belzebul,Alouatta_belzebul,0,2007,Tropical_and_suptropical_moist_broadleaf_forest,Alouatta belzebul,Vulnerable,2,a,Alouatta_belzebul_a,3240,445,area,1,0,387.6155557,29,18
Fialho et al. 2014,-34.86075,-7.14575,Brazil,Neotropics,Atelidae,Alouatta,Alouatta belzebul,Alouatta_belzebul,0,2007,Tropical_and_suptropical_moist_broadleaf_forest,Alouatta belzebul,Vulnerable,2,a,Alouatta_belzebul_a,3232,349,area,1,0,500.024983,21,19
Fialho et al. 2014,-35.40391667,-8.712666667,Brazil,Neotropics,Atelidae,Alouatta,Alouatta belzebul,Alouatta_belzebul,1,2007,Tropical_and_suptropical_moist_broadleaf_forest,Alouatta belzebul,Vulnerable,2,a,Alouatta_belzebul_a,3242,1,area,0,42.80495886,501.3991814,31,20
Fialho et al. 2014,-34.92133333,-6.994111111,Brazil,Neotropics,Atelidae,Alouatta,Alouatta belzebul,Alouatta_belzebul,1,2007,Tropical_and_suptropical_moist_broadleaf_forest,Alouatta belzebul,Vulnerable,2,a,Alouatta_belzebul_a,3234,832,area,1,0,521.0044116,23,21
Fialho et al. 2014,-34.99244444,-7.600861111,Brazil,Neotropics,Atelidae,Alouatta,Alouatta belzebul,Alouatta_belzebul,0,2007,Tropical_and_suptropical_moist_broadleaf_forest,Alouatta belzebul,Vulnerable,2,a,Alouatta_belzebul_a,3237,226,area,1,0,710.368948,26,22
Fialho et al. 2014,-36.23536111,-9.757416667,Brazil,Neotropics,Atelidae,Alouatta,Alouatta belzebul,Alouatta_belzebul,0,2007,Tropical_and_suptropical_moist_broadleaf_forest,Alouatta belzebul,Vulnerable,2,a,Alouatta_belzebul_a,3247,203,area,1,0,726.3096492,36,23
