Source,X,Y,Country,Realm,Family,Genus,Taxon,Taxon_ITIS,Occurrence,Sample_yea,BIOME,TaxonNameIUCN,redlistCategory,species_number,Source_grp,Dataset,row_id,CC,CC_new,nearpatch_ID,metric,treecover,near_p_dist,patch_area,dataset_row_id,row_id_2,row_id_3
Fialho et al. 2014,-35.50072222,-9.227416667,Brazil,Neotropics,Atelidae,Alouatta,Alouatta belzebul,Alouatta_belzebul,0,2007,Tropical_and_suptropical_moist_broadleaf_forest,Alouatta belzebul,Vulnerable,2,a,Alouatta_belzebul_a,3244,75,75,1,area,0,193.8076942,0.274839676,33,6,1
Fialho et al. 2014,-35.05261111,-8.525777778,Brazil,Neotropics,Atelidae,Alouatta,Alouatta belzebul,Alouatta_belzebul,0,2007,Mangroves,Alouatta belzebul,Vulnerable,2,a,Alouatta_belzebul_a,3241,50,75,567,area,1,0,61.65570054,30,7,2
Fialho et al. 2014,-35.13305556,-6.610527778,Brazil,Neotropics,Atelidae,Alouatta,Alouatta belzebul,Alouatta_belzebul,0,2007,Tropical and Subtropical Dry Broadleaf Forest,Alouatta belzebul,Vulnerable,2,a,Alouatta_belzebul_a,3215,75,75,351,area,1,0,96.46872611,4,8,3
Fialho et al. 2014,-36.30797222,-10.113,Brazil,Neotropics,Atelidae,Alouatta,Alouatta belzebul,Alouatta_belzebul,0,2007,Tropical and Subtropical Dry Broadleaf Forest,Alouatta belzebul,Vulnerable,2,a,Alouatta_belzebul_a,3246,75,75,282,area,1,0,115.6158902,35,9,4
Fialho et al. 2014,-35.08458333,-6.646611111,Brazil,Neotropics,Atelidae,Alouatta,Alouatta belzebul,Alouatta_belzebul,1,2007,Tropical_and_suptropical_moist_broadleaf_forest,Alouatta belzebul,Vulnerable,2,a,Alouatta_belzebul_a,3217,75,75,483,area,1,0,126.6094772,6,10,5
Fialho et al. 2014,-35.98216667,-9.516777778,Brazil,Neotropics,Atelidae,Alouatta,Alouatta belzebul,Alouatta_belzebul,1,2007,Tropical_and_suptropical_moist_broadleaf_forest,Alouatta belzebul,Vulnerable,2,a,Alouatta_belzebul_a,3248,75,75,1,area,0,85.60991773,138.6108097,37,11,6
Fialho et al. 2014,-35.13152778,-6.570138889,Brazil,Neotropics,Atelidae,Alouatta,Alouatta belzebul,Alouatta_belzebul,0,2007,Tropical and Subtropical Dry Broadleaf Forest,Alouatta belzebul,Vulnerable,2,a,Alouatta_belzebul_a,3214,75,75,245,area,1,0,146.3063206,3,12,7
Fialho et al. 2014,-35.06152778,-6.637666667,Brazil,Neotropics,Atelidae,Alouatta,Alouatta belzebul,Alouatta_belzebul,0,2007,Tropical_and_suptropical_moist_broadleaf_forest,Alouatta belzebul,Vulnerable,2,a,Alouatta_belzebul_a,3216,75,75,745,area,1,0,266.9609381,5,13,8
Fialho et al. 2014,-34.97588889,-7.51325,Brazil,Neotropics,Atelidae,Alouatta,Alouatta belzebul,Alouatta_belzebul,0,2007,Tropical_and_suptropical_moist_broadleaf_forest,Alouatta belzebul,Vulnerable,2,a,Alouatta_belzebul_a,3236,75,75,313,area,1,0,277.2216194,25,14,9
Fialho et al. 2014,-35.15441667,-7.042833333,Brazil,Neotropics,Atelidae,Alouatta,Alouatta belzebul,Alouatta_belzebul,1,2007,Tropical_and_suptropical_moist_broadleaf_forest,Alouatta belzebul,Vulnerable,2,a,Alouatta_belzebul_a,3226,75,75,312,area,1,0,307.0875308,15,15,10
Fialho et al. 2014,-34.97116667,-6.557944444,Brazil,Neotropics,Atelidae,Alouatta,Alouatta belzebul,Alouatta_belzebul,0,2007,Tropical_and_suptropical_moist_broadleaf_forest,Alouatta belzebul,Vulnerable,2,a,Alouatta_belzebul_a,3213,75,75,294,area,1,0,309.0114085,2,16,11
Fialho et al. 2014,-35.10597222,-6.731888889,Brazil,Neotropics,Atelidae,Alouatta,Alouatta belzebul,Alouatta_belzebul,0,2007,Tropical_and_suptropical_moist_broadleaf_forest,Alouatta belzebul,Vulnerable,2,a,Alouatta_belzebul_a,3218,75,75,617,area,1,0,340.8928109,7,17,12
Fialho et al. 2014,-35.013,-7.777611111,Brazil,Neotropics,Atelidae,Alouatta,Alouatta belzebul,Alouatta_belzebul,0,2007,Tropical_and_suptropical_moist_broadleaf_forest,Alouatta belzebul,Vulnerable,2,a,Alouatta_belzebul_a,3240,75,75,445,area,1,0,387.6155557,29,18,13
Fialho et al. 2014,-34.86075,-7.14575,Brazil,Neotropics,Atelidae,Alouatta,Alouatta belzebul,Alouatta_belzebul,0,2007,Tropical_and_suptropical_moist_broadleaf_forest,Alouatta belzebul,Vulnerable,2,a,Alouatta_belzebul_a,3232,75,75,349,area,1,0,500.024983,21,19,14
Fialho et al. 2014,-35.40391667,-8.712666667,Brazil,Neotropics,Atelidae,Alouatta,Alouatta belzebul,Alouatta_belzebul,1,2007,Tropical_and_suptropical_moist_broadleaf_forest,Alouatta belzebul,Vulnerable,2,a,Alouatta_belzebul_a,3242,75,75,1,area,0,42.80495886,501.3991814,31,20,15
Fialho et al. 2014,-34.92133333,-6.994111111,Brazil,Neotropics,Atelidae,Alouatta,Alouatta belzebul,Alouatta_belzebul,1,2007,Tropical_and_suptropical_moist_broadleaf_forest,Alouatta belzebul,Vulnerable,2,a,Alouatta_belzebul_a,3234,75,75,832,area,1,0,521.0044116,23,21,16
Fialho et al. 2014,-34.99244444,-7.600861111,Brazil,Neotropics,Atelidae,Alouatta,Alouatta belzebul,Alouatta_belzebul,0,2007,Tropical_and_suptropical_moist_broadleaf_forest,Alouatta belzebul,Vulnerable,2,a,Alouatta_belzebul_a,3237,75,75,226,area,1,0,710.368948,26,22,17
Fialho et al. 2014,-36.23536111,-9.757416667,Brazil,Neotropics,Atelidae,Alouatta,Alouatta belzebul,Alouatta_belzebul,0,2007,Tropical_and_suptropical_moist_broadleaf_forest,Alouatta belzebul,Vulnerable,2,a,Alouatta_belzebul_a,3247,75,75,203,area,1,0,726.3096492,36,23,18
Fialho et al. 2014,-35.08825,-7.192805556,Brazil,Neotropics,Atelidae,Alouatta,Alouatta belzebul,Alouatta_belzebul,1,2007,Tropical_and_suptropical_moist_broadleaf_forest,Alouatta belzebul,Vulnerable,2,a,Alouatta_belzebul_a,3231,75,75,246,area,1,0,795.1111813,20,24,19
Fialho et al. 2014,-36.18222222,-10.03508333,Brazil,Neotropics,Atelidae,Alouatta,Alouatta belzebul,Alouatta_belzebul,1,2007,Tropical and Subtropical Dry Broadleaf Forest,Alouatta belzebul,Vulnerable,2,a,Alouatta_belzebul_a,3250,75,75,4,area,0,60.53535336,934.2716703,39,25,20
Fialho et al. 2014,-36.29533333,-10.00791667,Brazil,Neotropics,Atelidae,Alouatta,Alouatta belzebul,Alouatta_belzebul,1,2007,Tropical and Subtropical Dry Broadleaf Forest,Alouatta belzebul,Vulnerable,2,a,Alouatta_belzebul_a,3251,75,75,1,area,0,95.7147978,945.9065499,40,26,21
Aguiar et al. 2007,-53.30305556,-22.72472222,Brazil,Neotropics,Atelidae,Alouatta,Alouatta caraya,Alouatta_caraya,0,2006,Tropical_and_suptropical_moist_broadleaf_forest,Alouatta caraya,Near Threatened,3,a,Alouatta_caraya_a,2342,75,75,1,area,0,281.8623936,0.096885865,16,37,22
Aguiar et al. 2007,-53.30944444,-22.77527778,Brazil,Neotropics,Atelidae,Alouatta,Alouatta caraya,Alouatta_caraya,1,2006,Tropical_and_suptropical_moist_broadleaf_forest,Alouatta caraya,Near Threatened,3,a,Alouatta_caraya_a,2344,75,75,4,area,0,44.01951034,0.193771729,18,38,23
Aguiar et al. 2007,-53.325,-22.72916667,Brazil,Neotropics,Atelidae,Alouatta,Alouatta caraya,Alouatta_caraya,0,2006,Tropical_and_suptropical_moist_broadleaf_forest,Alouatta caraya,Near Threatened,3,a,Alouatta_caraya_a,2346,75,75,1,area,0,295.2918524,1.06574451,20,39,24
Aguiar et al. 2007,-53.34805556,-22.75027778,Brazil,Neotropics,Atelidae,Alouatta,Alouatta caraya,Alouatta_caraya,1,2006,Tropical_and_suptropical_moist_broadleaf_forest,Alouatta caraya,Near Threatened,3,a,Alouatta_caraya_a,2353,75,75,1,area,0,69.60095708,1.453287968,27,40,25
Aguiar et al. 2007,-53.32805556,-22.75888889,Brazil,Neotropics,Atelidae,Alouatta,Alouatta caraya,Alouatta_caraya,0,2006,Tropical_and_suptropical_moist_broadleaf_forest,Alouatta caraya,Near Threatened,3,a,Alouatta_caraya_a,2348,75,75,1,area,0,93.3794828,1.647059697,22,41,26
Aguiar et al. 2007,-53.28361111,-22.77666667,Brazil,Neotropics,Atelidae,Alouatta,Alouatta caraya,Alouatta_caraya,0,2006,Tropical_and_suptropical_moist_broadleaf_forest,Alouatta caraya,Near Threatened,3,a,Alouatta_caraya_a,2341,75,75,2,area,0,124.5059771,2.034603155,15,42,27
Aguiar et al. 2007,-53.27861111,-22.70388889,Brazil,Neotropics,Atelidae,Alouatta,Alouatta caraya,Alouatta_caraya,1,2006,Tropical_and_suptropical_moist_broadleaf_forest,Alouatta caraya,Near Threatened,3,a,Alouatta_caraya_a,2339,75,75,1,area,0,376.1028612,5.231836685,13,43,28
Aguiar et al. 2007,-53.07222222,-22.64305556,Brazil,Neotropics,Atelidae,Alouatta,Alouatta caraya,Alouatta_caraya,1,2006,Tropical_and_suptropical_moist_broadleaf_forest,Alouatta caraya,Near Threatened,3,a,Alouatta_caraya_a,2327,75,75,1,area,0,265.9448836,5.328722549,1,44,29
Aguiar et al. 2007,-53.22583333,-22.73833333,Brazil,Neotropics,Atelidae,Alouatta,Alouatta caraya,Alouatta_caraya,1,2006,Tropical_and_suptropical_moist_broadleaf_forest,Alouatta caraya,Near Threatened,3,a,Alouatta_caraya_a,2335,75,75,1,area,0,31.12649427,13.37024931,9,45,30
Aguiar et al. 2007,-53.07888889,-22.64916667,Brazil,Neotropics,Atelidae,Alouatta,Alouatta caraya,Alouatta_caraya,1,2006,Tropical_and_suptropical_moist_broadleaf_forest,Alouatta caraya,Near Threatened,3,a,Alouatta_caraya_a,2328,75,75,1,area,0,31.12649427,14.62976554,2,46,31
Aguiar et al. 2007,-53.26638889,-22.73888889,Brazil,Neotropics,Atelidae,Alouatta,Alouatta caraya,Alouatta_caraya,1,2006,Tropical_and_suptropical_moist_broadleaf_forest,Alouatta caraya,Near Threatened,3,a,Alouatta_caraya_a,2338,75,75,1,area,0,295.2918524,15.59862419,12,47,32
Aguiar et al. 2007,-53.39777778,-22.81083333,Brazil,Neotropics,Atelidae,Alouatta,Alouatta caraya,Alouatta_caraya,1,2006,Tropical_and_suptropical_moist_broadleaf_forest,Alouatta caraya,Near Threatened,3,a,Alouatta_caraya_a,2357,75,75,1,area,0,112.2281711,19.28028704,31,48,33
Aguiar et al. 2007,-53.13472222,-22.65111111,Brazil,Neotropics,Atelidae,Alouatta,Alouatta caraya,Alouatta_caraya,1,2006,Tropical_and_suptropical_moist_broadleaf_forest,Alouatta caraya,Near Threatened,3,a,Alouatta_caraya_a,2329,75,75,1,area,0,62.25298853,19.76471637,3,49,34
Aguiar et al. 2007,-53.25805556,-22.81194444,Brazil,Neotropics,Atelidae,Alouatta,Alouatta caraya,Alouatta_caraya,1,2006,Tropical_and_suptropical_moist_broadleaf_forest,Alouatta caraya,Near Threatened,3,a,Alouatta_caraya_a,2336,75,75,1,area,0,44.01951034,28.48444417,10,50,35
Aguiar et al. 2007,-53.215,-22.79388889,Brazil,Neotropics,Atelidae,Alouatta,Alouatta caraya,Alouatta_caraya,1,2006,Tropical_and_suptropical_moist_broadleaf_forest,Alouatta caraya,Near Threatened,3,a,Alouatta_caraya_a,2333,75,75,51,area,1,0,34.00693845,7,51,36
Aguiar et al. 2007,-53.20722222,-22.7375,Brazil,Neotropics,Atelidae,Alouatta,Alouatta caraya,Alouatta_caraya,1,2006,Tropical_and_suptropical_moist_broadleaf_forest,Alouatta caraya,Near Threatened,3,a,Alouatta_caraya_a,2331,75,75,1,area,0,132.058531,40.88583483,5,52,37
Aguiar et al. 2007,-53.32694444,-22.78777778,Brazil,Neotropics,Atelidae,Alouatta,Alouatta caraya,Alouatta_caraya,1,2006,Tropical_and_suptropical_moist_broadleaf_forest,Alouatta caraya,Near Threatened,3,a,Alouatta_caraya_a,2347,75,75,295,area,1,0,43.40486731,21,53,38
Aguiar et al. 2007,-53.30694444,-22.84361111,Brazil,Neotropics,Atelidae,Alouatta,Alouatta caraya,Alouatta_caraya,0,2006,Tropical_and_suptropical_moist_broadleaf_forest,Alouatta caraya,Near Threatened,3,a,Alouatta_caraya_a,2343,75,75,85,area,1,0,51.05885061,17,54,39
Aguiar et al. 2007,-53.26361111,-22.75555556,Brazil,Neotropics,Atelidae,Alouatta,Alouatta caraya,Alouatta_caraya,1,2006,Tropical_and_suptropical_moist_broadleaf_forest,Alouatta caraya,Near Threatened,3,a,Alouatta_caraya_a,2337,75,75,1,area,0,31.12649427,58.80971977,11,55,40
Aguiar et al. 2007,-53.35527778,-22.8,Brazil,Neotropics,Atelidae,Alouatta,Alouatta caraya,Alouatta_caraya,1,2006,Tropical_and_suptropical_moist_broadleaf_forest,Alouatta caraya,Near Threatened,3,a,Alouatta_caraya_a,2354,75,75,2,area,0,62.25298853,78.09000682,28,56,41
Aguiar et al. 2007,-53.3825,-22.80055556,Brazil,Neotropics,Atelidae,Alouatta,Alouatta caraya,Alouatta_caraya,1,2006,Tropical_and_suptropical_moist_broadleaf_forest,Alouatta caraya,Near Threatened,3,a,Alouatta_caraya_a,2356,75,75,300,area,1,0,90.29762575,30,57,42
Aguiar et al. 2007,-53.33472222,-22.86027778,Brazil,Neotropics,Atelidae,Alouatta,Alouatta caraya,Alouatta_caraya,0,2006,Tropical_and_suptropical_moist_broadleaf_forest,Alouatta caraya,Near Threatened,3,a,Alouatta_caraya_a,2349,75,75,40,area,1,0,117.8132113,23,58,43
Aguiar et al. 2007,-53.33583333,-22.87861111,Brazil,Neotropics,Atelidae,Alouatta,Alouatta caraya,Alouatta_caraya,0,2006,Tropical_and_suptropical_moist_broadleaf_forest,Alouatta caraya,Near Threatened,3,a,Alouatta_caraya_a,2350,75,75,39,area,1,0,128.2768846,24,59,44
Aguiar et al. 2007,-53.31388889,-22.78583333,Brazil,Neotropics,Atelidae,Alouatta,Alouatta caraya,Alouatta_caraya,1,2006,Tropical_and_suptropical_moist_broadleaf_forest,Alouatta caraya,Near Threatened,3,a,Alouatta_caraya_a,2345,75,75,210,area,1,0,182.0485395,19,60,45
Aguiar et al. 2007,-53.21166667,-22.72583333,Brazil,Neotropics,Atelidae,Alouatta,Alouatta caraya,Alouatta_caraya,1,2006,Tropical_and_suptropical_moist_broadleaf_forest,Alouatta caraya,Near Threatened,3,a,Alouatta_caraya_a,2332,75,75,56,area,1,0,188.4430065,6,61,46
Aguiar et al. 2007,-53.34222222,-22.79388889,Brazil,Neotropics,Atelidae,Alouatta,Alouatta caraya,Alouatta_caraya,1,2006,Tropical_and_suptropical_moist_broadleaf_forest,Alouatta caraya,Near Threatened,3,a,Alouatta_caraya_a,2351,75,75,138,area,0,31.12649427,217.7025376,25,62,47
Aguiar et al. 2007,-53.37805556,-22.81888889,Brazil,Neotropics,Atelidae,Alouatta,Alouatta caraya,Alouatta_caraya,1,2006,Tropical_and_suptropical_moist_broadleaf_forest,Alouatta caraya,Near Threatened,3,a,Alouatta_caraya_a,2355,75,75,228,area,1,0,446.4500638,29,63,48
Aguiar et al. 2007,-53.28305556,-22.75694444,Brazil,Neotropics,Atelidae,Alouatta,Alouatta caraya,Alouatta_caraya,1,2006,Tropical_and_suptropical_moist_broadleaf_forest,Alouatta caraya,Near Threatened,3,a,Alouatta_caraya_a,2340,75,75,118,area,1,0,519.5020056,14,64,49
"Gestich, 2016",-47.92260278,-21.91908889,Brazil,Neotropics,Atelidae,Alouatta,Alouatta caraya,Alouatta_caraya,0,2013,Tropical and Subtropical Grasslands Savannas and Shrublands,Alouatta caraya,Near Threatened,3,c,Alouatta_caraya_c,5655,75,75,101,area,1,0,10.04638349,13,65,50
"Gestich, 2016",-47.78342222,-21.90458056,Brazil,Neotropics,Atelidae,Alouatta,Alouatta caraya,Alouatta_caraya,0,2013,Tropical and Subtropical Grasslands Savannas and Shrublands,Alouatta caraya,Near Threatened,3,c,Alouatta_caraya_c,5646,75,75,1,area,0,44.38332025,11.91776865,4,66,51
"Gestich, 2016",-47.89529167,-21.96286389,Brazil,Neotropics,Atelidae,Alouatta,Alouatta caraya,Alouatta_caraya,0,2013,Tropical and Subtropical Grasslands Savannas and Shrublands,Alouatta caraya,Near Threatened,3,c,Alouatta_caraya_c,5654,75,75,120,area,1,0,14.77409337,12,67,52
"Gestich, 2016",-47.99478333,-21.62144167,Brazil,Neotropics,Atelidae,Alouatta,Alouatta caraya,Alouatta_caraya,0,2013,Tropical and Subtropical Grasslands Savannas and Shrublands,Alouatta caraya,Near Threatened,3,c,Alouatta_caraya_c,5658,75,75,38,area,1,0,46.39065319,16,68,53
"Gestich, 2016",-47.56750556,-21.81781389,Brazil,Neotropics,Atelidae,Alouatta,Alouatta caraya,Alouatta_caraya,0,2013,Tropical and Subtropical Grasslands Savannas and Shrublands,Alouatta caraya,Near Threatened,3,c,Alouatta_caraya_c,5643,75,75,124,area,1,0,64.80902293,1,69,54
"Gestich, 2016",-47.92631944,-21.73179444,Brazil,Neotropics,Atelidae,Alouatta,Alouatta caraya,Alouatta_caraya,0,2013,Tropical and Subtropical Grasslands Savannas and Shrublands,Alouatta caraya,Near Threatened,3,c,Alouatta_caraya_c,5656,75,75,16,area,0,31.38374672,80.27257399,14,70,55
"Gestich, 2016",-47.84073333,-21.63543611,Brazil,Neotropics,Atelidae,Alouatta,Alouatta caraya,Alouatta_caraya,0,2013,Tropical and Subtropical Grasslands Savannas and Shrublands,Alouatta caraya,Near Threatened,3,c,Alouatta_caraya_c,5653,75,75,147,area,1,0,84.704802,11,71,56
