Dataset,n,simulation_number,patch_comb_number,vars,mean,sd,median,trimmed,mad,min,max,range,skew,kurtosis,se,habitat_amount,Cumulative_Occurrence,Source,Realm,Family,Genus,Taxon_ITIS,TaxonNameIUCN,redlistCategory,Occurrence,mean_patch_area_log
Alouatta_belzebul_a,6,1,1,1,278.5500111,182.9465391,308.0494697,278.5500111,178.882536,0.274839676,521.0044116,520.7295719,-0.224836425,-1.52691292,74.68761183,twenty_percent,2,Fialho et al. 2014,Neotropics,Atelidae,Alouatta,Alouatta_belzebul,Alouatta belzebul,Vulnerable,1,2.44490318
Alouatta_belzebul_a,5,1,2,1,328.6899293,259.9540996,309.0114085,328.6899293,62.34402742,0.274839676,726.3096492,726.0348095,0.309694473,-1.395116426,116.2550075,twenty_percent,0,Fialho et al. 2014,Neotropics,Atelidae,Alouatta,Alouatta_belzebul,Alouatta belzebul,Vulnerable,0,2.516786398
Alouatta_belzebul_a,6,1,3,1,276.5803268,183.2527415,207.9162146,276.5803268,128.6949148,115.6158902,501.3991814,385.7832912,0.334456305,-2.026515284,74.81261842,twenty_percent,3,Fialho et al. 2014,Neotropics,Atelidae,Alouatta,Alouatta_belzebul,Alouatta belzebul,Vulnerable,1,2.441821285
Alouatta_belzebul_a,2,1,4,1,828.137749,166.5502355,828.137749,828.137749,174.6040243,710.368948,945.9065499,235.5376019,-5.29168E-16,-2.75,117.768801,twenty_percent,1,Fialho et al. 2014,Neotropics,Atelidae,Alouatta,Alouatta_belzebul,Alouatta belzebul,Vulnerable,1,2.918102582
Alouatta_belzebul_a,4,1,5,1,410.5417653,257.8354182,388.6233012,410.5417653,267.9163267,138.6108097,726.3096492,587.6988395,0.141819627,-2.106789457,128.9177091,twenty_percent,1,Fialho et al. 2014,Neotropics,Atelidae,Alouatta,Alouatta_belzebul,Alouatta belzebul,Vulnerable,1,2.613357345
Alouatta_belzebul_a,6,1,6,1,278.9317329,270.3584269,206.6336294,278.9317329,156.1317199,61.65570054,795.1111813,733.4554808,1.002684257,-0.671643969,110.3733656,twenty_percent,2,Fialho et al. 2014,Neotropics,Atelidae,Alouatta,Alouatta_belzebul,Alouatta belzebul,Vulnerable,1,2.445497925
Alouatta_belzebul_a,6,1,7,1,274.198383,240.3367178,211.76397,274.198383,133.7883811,61.65570054,726.3096492,664.6539487,0.930936292,-0.773803221,98.11705418,twenty_percent,2,Fialho et al. 2014,Neotropics,Atelidae,Alouatta,Alouatta_belzebul,Alouatta belzebul,Vulnerable,1,2.438064889
Alouatta_belzebul_a,6,1,8,1,283.5276631,242.7974852,222.8491703,283.5276631,158.8482353,61.65570054,726.3096492,664.6539487,0.805587108,-0.98956398,99.12165825,twenty_percent,3,Fialho et al. 2014,Neotropics,Atelidae,Alouatta,Alouatta_belzebul,Alouatta belzebul,Vulnerable,1,2.452595438
Alouatta_belzebul_a,3,1,9,1,549.3434359,367.711045,726.3096492,549.3434359,102.0051515,126.6094772,795.1111813,668.5017041,-0.369796124,-2.333333333,212.2980708,twenty_percent,2,Fialho et al. 2014,Neotropics,Atelidae,Alouatta,Alouatta_belzebul,Alouatta belzebul,Vulnerable,1,2.73984394
Alouatta_belzebul_a,4,1,10,1,424.1692326,348.511953,308.0494697,424.1692326,120.6132817,146.3063206,934.2716703,787.9653497,0.638698691,-1.745461237,174.2559765,twenty_percent,2,Fialho et al. 2014,Neotropics,Atelidae,Alouatta,Alouatta_belzebul,Alouatta belzebul,Vulnerable,1,2.627539163
Alouatta_belzebul_a,8,1,11,1,205.9579819,141.1664586,211.76397,205.9579819,166.3865654,0.274839676,387.6155557,387.340716,-0.114222875,-1.795549651,49.90988007,twenty_percent,2,Fialho et al. 2014,Neotropics,Atelidae,Alouatta,Alouatta_belzebul,Alouatta belzebul,Vulnerable,1,2.313778628
Alouatta_belzebul_a,5,1,12,1,333.6920114,362.6807194,266.9609381,333.6920114,178.8825359,0.274839676,945.9065499,945.6317102,0.777700815,-1.218810335,162.1957486,twenty_percent,1,Fialho et al. 2014,Neotropics,Atelidae,Alouatta,Alouatta_belzebul,Alouatta belzebul,Vulnerable,1,2.52334581
Alouatta_belzebul_a,4,1,13,1,424.947945,353.8377798,324.9521097,424.947945,166.9977813,115.6158902,934.2716703,818.6557801,0.566427185,-1.777054025,176.9188899,twenty_percent,1,Fialho et al. 2014,Neotropics,Atelidae,Alouatta,Alouatta_belzebul,Alouatta belzebul,Vulnerable,1,2.628335733
Alouatta_belzebul_a,2,1,14,1,836.1080996,155.2784576,836.1080996,836.1080996,162.7871825,726.3096492,945.9065499,219.5969007,5.28598E-16,-2.75,109.7984504,twenty_percent,1,Fialho et al. 2014,Neotropics,Atelidae,Alouatta,Alouatta_belzebul,Alouatta belzebul,Vulnerable,1,2.922262431
Alouatta_belzebul_a,3,1,15,1,567.8798451,260.7252729,710.368948,567.8798451,23.6336836,266.9609381,726.3096492,459.3487111,-0.383282174,-2.333333333,150.5298065,twenty_percent,0,Fialho et al. 2014,Neotropics,Atelidae,Alouatta,Alouatta_belzebul,Alouatta belzebul,Vulnerable,0,2.754256455
Alouatta_belzebul_a,4,1,16,1,424.5127822,93.65821463,443.8202694,424.5127822,84.34780173,309.0114085,501.3991814,192.3877729,-0.214833888,-2.196561483,46.82910731,twenty_percent,1,Fialho et al. 2014,Neotropics,Atelidae,Alouatta,Alouatta_belzebul,Alouatta belzebul,Vulnerable,1,2.627890771
Alouatta_belzebul_a,6,1,17,1,282.9169082,273.2483853,136.4578989,282.9169082,70.90105069,61.65570054,726.3096492,664.6539487,0.643585636,-1.625094344,111.5531862,twenty_percent,2,Fialho et al. 2014,Neotropics,Atelidae,Alouatta,Alouatta_belzebul,Alouatta belzebul,Vulnerable,1,2.451658903
Alouatta_belzebul_a,4,1,18,1,430.4218352,383.7056399,432.4602295,430.4218352,486.6637255,61.65570054,795.1111813,733.4554808,-0.002605594,-2.410685823,191.85282,twenty_percent,2,Fialho et al. 2014,Neotropics,Atelidae,Alouatta,Alouatta_belzebul,Alouatta belzebul,Vulnerable,1,2.633894295
Alouatta_belzebul_a,3,1,19,1,552.1834459,492.2619452,710.368948,552.1834459,349.2080486,0.274839676,945.9065499,945.6317102,-0.288161498,-2.333333333,284.2075666,twenty_percent,1,Fialho et al. 2014,Neotropics,Atelidae,Alouatta,Alouatta_belzebul,Alouatta belzebul,Vulnerable,1,2.742083383
